country,work_employment_2020,work_emptopop_2020,work_business_2019,work_taxes_2019,work_employment_2020_n,work_emptopop_2020_n,work_business_2019_n,work_taxes_2019_n,work_s
Kuwait,66.3,67.6,67.4,13.0,67.55725190839695,70.0381679389313,70.95808383233535,2.358490566037736,52.72799856142533
Lao,76.6,56.8,50.8,24.1,87.21374045801527,49.42748091603053,46.107784431137716,7.5943396226415105,47.58583635695626
Lebanon,42.3,38.8,54.3,32.2,21.75572519083969,15.076335877862594,51.34730538922155,11.415094339622645,24.89861519938662
Liberia,70.3,73.0,43.2,46.2,75.19083969465649,80.34351145038168,34.730538922155695,18.018867924528305,52.07093949793054
Libya,38.8,36.6,32.7,32.6,15.076335877862594,10.877862595419852,19.011976047904195,11.60377358490566,14.142487026523076
St. Lucia,57.5,52.9,63.7,34.7,50.76335877862596,41.98473282442748,65.41916167664671,12.594339622641511,42.69039822558542
Sri Lanka,48.6,48.8,61.8,55.2,33.77862595419848,34.160305343511446,62.5748502994012,22.264150943396228,38.19448313512684
Lesotho,50.2,52.3,59.4,13.6,36.8320610687023,40.839694656488554,58.982035928143716,2.641509433962264,34.823825271824205
Lithuania,56.8,57.3,81.6,42.6,49.42748091603053,50.38167938931298,92.21556886227543,16.32075471698113,52.08637097115002
Luxembourg,55.8,56.7,69.6,20.4,47.51908396946565,49.23664122137406,74.25149700598801,5.849056603773584,44.21406970015033
Latvia,56.8,56.7,80.3,38.1,49.42748091603053,49.23664122137406,90.26946107784431,14.19811320754717,50.782924105699024
"Macao, China",69.2,65.9,,,73.09160305343512,66.793893129771,,,34.97137404580153
Morocco,38.3,38.6,73.4,45.8,14.122137404580151,14.694656488549622,79.94011976047906,17.830188679245282,31.64677558321353
Moldova,37.8,38.8,74.4,38.7,13.167938931297709,15.076335877862594,81.43712574850301,14.4811320754717,31.040633158283754
Madagascar,81.8,82.7,47.7,38.3,97.13740458015268,98.85496183206106,41.46706586826348,14.292452830188678,62.93797127766648
Maldives,62.9,57.0,53.3,30.2,61.06870229007634,49.80916030534351,49.8502994011976,10.471698113207546,42.79996502745625
Mexico,53.8,54.0,72.4,55.1,43.70229007633588,44.083969465648856,78.4431137724551,22.21698113207547,47.111588611628825
North Macedonia,42.0,45.4,80.7,13.0,21.183206106870234,27.67175572519084,90.8682634730539,2.358490566037736,35.52042896778818
Mali,63.7,63.6,52.9,54.5,62.59541984732825,62.40458015267177,49.25149700598803,21.933962264150942,49.04636481753475
Malta,55.9,59.0,66.1,44.0,47.70992366412214,53.62595419847328,69.01197604790418,16.9811320754717,46.83224649649283
Myanmar,55.6,59.3,46.8,31.2,47.13740458015268,54.19847328244275,40.11976047904191,10.943396226415095,38.09975864201311
Montenegro,44.9,43.8,73.8,22.2,26.7175572519084,24.618320610687018,80.53892215568862,6.69811320754717,34.64322830645781
Mongolia,60.2,56.9,67.8,25.7,55.91603053435116,49.61832061068702,71.55688622754491,8.349056603773585,46.36007349408917
Mozambique,73.5,75.1,55.0,36.1,81.29770992366413,84.35114503816794,52.395209580838326,13.254716981132075,57.824695380950615
Mauritania,39.8,36.1,51.1,67.0,16.98473282442748,9.92366412213741,46.556886227544915,27.830188679245282,25.32386796333877
Mauritius,52.3,53.0,81.5,22.2,40.839694656488554,42.17557251908397,92.06586826347306,6.69811320754717,45.44481216164819
Malawi,70.7,64.4,60.9,34.5,75.95419847328246,63.93129770992368,61.227544910179645,12.5,53.40326027334645
Malaysia,61.3,62.3,81.5,38.7,58.01526717557252,59.9236641221374,92.06586826347306,14.4811320754717,56.121482909163674
Namibia,46.8,45.8,61.4,20.7,30.343511450381676,28.43511450381679,61.97604790419162,5.990566037735849,31.68630997403148
New Caledonia,52.1,49.7,,,40.45801526717558,35.877862595419856,,,19.08396946564886
Niger,71.3,72.3,56.8,47.2,77.09923664122138,79.00763358778626,55.08982035928143,18.490566037735853,57.42181415650623
Nigeria,48.6,54.8,56.9,34.8,33.77862595419848,45.61068702290076,55.23952095808384,12.641509433962263,36.817585842286334
