country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020,eco_gdp_2022_n,eco_inflation_2022_n,eco_invest_2020_n,eco_trade_2020_n,eco_s
Somalia,1160.0,6.54,,-50.4,0.3623358,4.0857983,,19.848055,6.074047237634659
Serbia,20500.0,10.4,24.2,-8.28,9.41605,5.518239,41.759827,59.848057,29.13554310798645
South Sudan,386.0,,,,0.0,,,,0.0
Sao Tome and Principe,4010.0,16.3,,,1.6965181,7.7077217,,,2.3510599434375763
Suriname,14900.0,43.9,,,6.7944984,17.950052,,,6.186137676239014
Slovak Republic,33200.0,7.48,19.9,1.62,15.361353,4.434631,34.006493,69.24976,30.763059973716736
Slovenia,42200.0,6.48,20.1,8.94,19.57456,4.063532,34.367115,76.20133,33.551634788513184
Sweden,54800.0,5.98,25.1,4.48,25.47305,3.8779826,43.38262,71.96581,36.17486655712128
Eswatini,9130.0,8.79,12.3,2.95,4.0933647,4.92077,20.302921,70.51282,24.957468390464783
Seychelles,29800.0,-4.47,56.5,-23.8,13.769697,0.0,100.0,45.109215,39.719727993011475
Syria,3350.0,,,-18.8,1.3875495,,,49.85755,12.811275273561478
Chad,1410.0,18.7,20.6,-15.3,0.47936934,8.59836,35.268665,53.18139,24.38194589316845
Togo,2210.0,5.02,19.8,-8.93,0.8538766,3.5217278,33.82618,59.230774,24.35813945531845
Thailand,17500.0,4.72,23.7,5.19,8.011647,3.410398,40.858276,72.640076,31.230099320411682
Tajikistan,4140.0,6.02,33.5,-21.1,1.7573755,3.8928266,58.52867,47.673317,27.963047564029694
Turkmenistan,14700.0,11.2,,-0.299,6.7008715,5.8151183,,67.42735,19.985835671424866
Timor-Leste,4090.0,11.4,16.5,-11.4,1.7339687,5.889338,27.875948,56.88509,23.096086144447327
Tonga,6040.0,,24.5,-44.4,2.6468303,,42.30076,25.54606,17.623412311077118
Trinidad and Tobago,23500.0,20.8,,,10.820452,9.377666,,,5.049529552459717
Tunisia,10600.0,7.57,12.5,-8.15,4.781522,4.46803,20.663542,59.971508,22.471150398254395
Turkey,33000.0,96.0,31.3,-3.1,15.267726,37.284298,54.561844,64.767334,42.9703004360199
Tuvalu,4590.0,5.55,,,1.9680358,3.7184105,,,1.4216115772724152
Taiwan,58700.0,,,,27.298773,,,,6.824693202972412
Tanzania,2620.0,2.72,38.7,-0.955,1.0458117,2.6682003,67.9048,66.80437,34.605794847011566
Uganda,2280.0,4.92,24.2,-6.17,0.88664603,3.4846177,41.759827,61.851856,26.99573665857315
Ukraine,10700.0,34.3,8.93,-1.51,4.8283353,14.387502,14.226471,66.2773,24.929901480674744
Uruguay,24400.0,4.41,16.4,4.4,11.241773,3.2953572,27.695637,71.88984,28.530651450157166
USA,64700.0,7.04,21.1,-2.98,30.107576,4.2713475,36.170216,64.88129,33.857606530189514
Uzbekistan,8070.0,13.8,40.0,-13.5,3.5971425,6.7799754,70.24883,54.890793,33.87918585538864
St. Vincent and the Grenadines,14600.0,3.66,,,6.6540585,3.0170333,,,2.417772948741913
Venezuela,6180.0,,,,2.712369,,,,0.6780922412872314
Vietnam,11400.0,3.86,31.9,5.52,5.156029,3.0912533,55.643707,72.95346,34.21111261844635
Vanuatu,2790.0,12.4,46.9,-31.6,1.1253943,6.2604365,82.69023,37.70181,31.944467782974243
