country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Algeria,11.8,16.8,37.4,90.8,68.8,44.5,7.6,21.3,62.1,35.0
Ecuador,14.3,58.1,29.1,93.1,70.3,58.4,14.0,42.7,47.9,63.4
Egypt,11.1,29.9,24.8,91.5,73.5,43.9,5.7,26.4,54.6,25.5
Eritrea,3.0,27.2,0.2,73.9,19.6,27.0,22.9,46.8,23.2,7.2
Spain,36.4,40.4,31.5,78.1,87.3,70.7,19.6,42.1,83.4,90.0
Estonia,40.3,67.1,36.9,58.5,83.9,60.2,18.5,53.9,76.0,93.1
Ethiopia,1.9,7.2,31.8,89.0,15.3,28.0,26.4,56.4,35.7,30.2
Finland,35.2,27.2,34.2,61.0,86.4,68.5,32.9,48.5,94.8,98.8
Fiji,9.7,16.8,21.8,70.5,72.7,37.0,8.3,40.0,42.7,40.8
France,53.5,8.5,32.8,78.7,87.1,72.4,35.1,45.6,86.9,88.6
Faeroe Islands,26.2,,29.8,,50.0,,1.4,,,
"Micronesia, Fed. Sts.",5.4,9.3,8.0,23.7,64.9,46.0,0.5,16.7,33.1,50.0
Gabon,9.4,37.1,34.6,91.8,53.0,32.7,33.9,21.6,52.1,31.8
UK,54.4,28.6,30.9,73.5,85.6,68.2,14.1,54.2,85.4,97.8
Georgia,21.1,56.7,25.9,93.2,71.4,69.3,16.1,48.1,62.5,63.9
Ghana,7.5,15.8,27.5,92.0,43.6,32.9,16.1,52.6,43.1,73.9
Gibraltar,42.0,25.0,,,75.0,,7.5,,,
Guinea,5.8,10.0,27.1,87.4,25.9,27.6,17.1,39.5,45.1,36.9
Gambia,6.7,25.8,23.7,88.5,43.9,32.9,12.9,38.6,37.4,37.8
Guinea-Bissau,5.2,15.7,21.8,49.8,21.5,31.7,22.7,41.2,17.8,43.3
Equatorial Guinea,2.8,40.6,20.6,66.1,42.9,31.7,1.8,36.6,29.7,8.8
Greece,34.2,67.5,25.9,73.8,77.0,74.5,11.4,34.4,76.0,78.9
Grenada,18.6,0.0,2.2,47.7,69.3,48.5,2.7,17.2,45.1,59.3
Greenland,19.8,,28.2,,64.8,0.0,3.0,,,
Guatemala,11.2,44.7,22.6,92.3,65.0,41.0,20.8,42.0,45.1,53.4
Guam,9.5,0.0,4.8,,72.2,0.0,0.9,25.7,,
Guyana,14.9,0.0,5.5,47.1,69.2,43.5,3.1,27.1,36.6,66.6
"Hong Kong, China",60.1,30.3,32.9,15.7,75.6,0.0,2.5,49.6,45.7,21.2
Honduras,6.5,19.5,23.2,92.1,67.2,35.8,16.4,39.4,42.0,52.5
