country,energy_use_2014,energy_import_2014,energy_alternative_2014,energy_renewable_2020,energy_use_2014_n,energy_import_2014_n,energy_alternative_2014_n,energy_renewable_2020_n,energy_s
Guinea,,,,65.8,,,,68.39918,17.099794387817383
Greenland,,,,11.5,,,,11.954263,2.988565683364868
Guam,,,,3.61,,,,3.7525988,0.9381496906280518
Lao,,,,49.9,,,,51.871105,12.96777629852295
Liberia,,,,93.0,,,,96.6736,24.168399810791016
Liechtenstein,,,,55.2,,,,57.38046,14.345114707946777
"Macao, China",,,,11.0,,,,11.434512,2.858628034591675
Madagascar,,,,84.8,,,,88.14969,22.03742218017578
Mali,,,,63.8,,,,66.32017,16.580041885375977
Northern Mariana Islands,,,,0.32,,,,0.33264035,0.08316008746623993
Mauritania,,,,23.8,,,,24.740126,6.185031414031982
Malawi,,,,70.3,,,,73.07693,18.26923179626465
New Caledonia,,,,6.04,,,,6.2785864,1.5696465969085693
Nauru,,,,1.4,,,,1.4553015,0.36382538080215454
Papua New Guinea,,,,54.3,,,,56.44491,14.111227035522461
Puerto Rico,,,,2.46,,,,2.5571725,0.6392931342124939
Palestine,,,,15.0,,,,15.592516,3.8981289863586426
French Polynesia,,,,8.13,,,,8.451143,2.112785816192627
Rwanda,,,,81.7,,,,84.92723,21.231807708740234
Sierra Leone,,,,75.1,,,,78.06653,19.516632080078125
Somalia,,,,95.5,,,,99.272354,24.81808853149414
Sint Maarten (Dutch part),,,,0.05,,,,0.051975053,0.012993763200938702
Turks and Caicos Islands,,,,0.51,,,,0.5301455,0.132536381483078
Chad,,,,73.5,,,,76.40333,19.100831985473633
Tuvalu,,,,6.67,,,,6.933472,1.7333680391311646
Uganda,,,,92.9,,,,96.56965,24.142412185668945
British Virgin Islands,,,,1.42,,,,1.4760915,0.3690228760242462
Virgin Islands (U.S.),,,,5.13,,,,5.3326406,1.333160161972046
